Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
1200-1949	1	-2.01999999999998	-11.82	431.62	82.96	390	0
1200-1949	2	-0.339999999999975	-10.72	546.13	77.99	390	0
1200-1949	3	4.81	-4.98999999999995	665.54	188.61	390	0
1200-1949	4	12.16	1.41000000000003	701.84	143.77	390	0
1200-1949	5	16.28	6.34000000000003	657.9	114.53	390	0
1200-1949	6	21.42	10.55	824.05	48.43	390	0
1200-1949	7	23.16	13.0700000000001	772.24	87.37	390	0
1200-1949	8	23.19	11.92	828.73	85.3	390	0
1200-1949	9	21.08	10.56	700.48	130.56	390	0
1200-1949	10	15.03	5.63	481.39	158.46	390	0
1200-1949	11	9.24000000000001	0.0300000000000296	474.54	60.99	390	0
1200-1949	12	-0.439999999999998	-9.66999999999996	350.82	77.81	390	0
1950	1	-2.02	-11.82	431.62	82.96	390	0
1950	2	-0.34	-10.72	546.13	77.99	390	0
1950	3	4.81	-4.99	665.54	188.61	390	0
1950	4	12.16	1.41	701.84	143.77	390	0
1950	5	16.28	6.34	657.9	114.53	390	0
1950	6	21.42	10.55	824.05	48.43	390	0
1950	7	23.16	13.07	772.24	87.37	390	0
1950	8	23.19	11.92	828.73	85.3	390	0
1950	9	21.08	10.56	700.48	130.56	390	0
1950	10	15.03	5.63	481.39	158.46	390	0
1950	11	9.24	0.03	474.54	60.99	390	0
1950	12	-0.44	-9.67	350.82	77.81	390	0
1951	1	-0.53	-9.38	380.35	139.11	390	0
1951	2	0.41	-8.67	402.61	182.22	390	0
1951	3	4.67	-3.81	609.82	128.76	390	0
1951	4	12.4	0.97	792.93	55.6	390	0
1951	5	16.97	6.49	704.85	88.1	390	0
1951	6	22.08	11.45	769.8	66.64	390	0
1951	7	23.73	12.46	857.69	77.91	390	0
1951	8	22.92	12.62	759.35	171.64	390	0
1951	9	20.24	9.61	678.82	94.35	390	0
1951	10	15.39	5.34	506.5	139.92	390	0
1951	11	5.04	-3.94	481.04	82.86	390	0
1951	12	1.96	-8.04	395.17	120.12	390	0
1952	1	1.06	-9.3	387.9	118.45	390	0
1952	2	1.19	-9.53	535.65	48.26	390	0
1952	3	5.04	-4.75	730.13	76.7	390	0
1952	4	9.98	-0.21	691.23	133.27	390	0
1952	5	19.68	7.81	664.49	140.45	390	0
1952	6	20.64	10.22	727.62	195.43	390	0
1952	7	22.65	12.42	756.71	139.09	390	0
1952	8	23.78	13.32	755.02	163.98	390	0
1952	9	19.08	9.11	694.23	95.7	390	0
1952	10	12.55	2.85	563.44	145.04	390	0
1952	11	3.85	-4.76	429.37	116.73	390	0
1952	12	-1.29	-10.78	369.39	51.75	390	0
1953	1	-0.52	-11.7	393.61	199.17	390	0
1953	2	-3.47	-15.1	503.35	53.31	390	0
1953	3	3.86	-5.07	640.38	155.76	390	0
1953	4	11.69	1.17	733.22	88.87	390	0
1953	5	17.14	5.72	746.78	152.62	390	0
1953	6	24.07	12.76	798.75	92.2	390	0
1953	7	25.54	14.02	835.11	91.12	390	0
